"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"fl_em_operacao";"SITUAÇÃO";"ATIVIDADE";"TIPOATIVIDADE";"ESTRUTURA BÁSICA";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"COMPLEMENTO";"TELEFONE";"EMAIL_INSTITUCIONAL";"EMAIL_COMERCIAL";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CNAE";"SEGMENTOS TURISTICOS";"LINGUAS";"UH";"UHs ACESSÍVEIS";"TOTAL DE LEITOS"
POUSADA GARCAS DE ITAUNA LTDA;POUSADA DAS GARÇAS;"13807240000144";Sociedade Empresária Limitada;2011-05-24;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"28990000";RJ;Saquarema;;Sem Logradouro;;(22)2651-2116;contato@pousadadasgarcas.com.br;contato@pousadadasgarcas.com.br;;"23/02/2018";"23/02/2020";"13807240000144";"5510801 - HOTÉIS";; Espanhol | Inglês;16;2;42
RIOBARRA EMPREENDIMENTOS IMOBILIARIOS LTDA;RIOBARRA;"13808433000110";Sociedade Empresária Limitada;2011-06-15;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"22631470";RJ;Rio de Janeiro;Barra da Tijuca;Evandro Lins e Silva;;(21)3554-1600;danielle.soares@mribr.com.br;danielle.soares@mribr.com.br;;"06/03/2018";"06/03/2020";"13808433000110";"5510801 - HOTÉIS";; Alemão | Espanhol | Francês | Inglês | Italiano | Japonês;378;40;378
N L ALVES PINTO FILHO;POUSADA MAR DE MACEIÓ;"13864940000170";Empresário Individual;2011-06-21;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57035400";AL;Maceió;Ponta Verde;Professor Victal Barbosa;;(82)3231-8531;MCONT@OI.COM.BR;pousadamardemaceio@hotmail.com;;"14/03/2018";"14/03/2020";"13864940000170";"5510801 - HOTÉIS";; Inglês;26;1;52
POUSADA E RESTAURANTE CAPIM SANTO LTDA - EPP;POUSADA E RESTAURANTE CAPIM SANTO LTDA;"13876271000157";Sociedade Empresária Limitada;1986-09-02;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"45818000";BA;Trancoso;;Sem Logradouro;;(73)3668-1122;capimsanto@capimsanto.com.br;capimsanto@capimsanto.com.br;www.capimsanto.com.br;"13/06/2017";"13/06/2019";"13876271000157";"5510801 - HOTÉIS";; Inglês;20;1;40
FABIANE FARIAS SALES;POUSADA NOSSA CASA CAMA E CAFE;"13928242000191";Empresário (Individual);2011-07-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"69735000";AM;Presidente Figueiredo;;Sem Logradouro;;(92)3324-2256;nossakzacamacafe@gmail.com;nossakzacamacafe@gmail.com;www.nossacasacamacafe.no.comunidades.net;"30/01/2018";"30/01/2020";"13928242000191";"5510801 - HOTÉIS";; Espanhol | Inglês;4;0;12
POUSADA PIRA-ACU LTDA;POUSADA PIRA-CU PESCA ESPORTIVA;"13993249000197";Sociedade Empresária Limitada;2011-07-22;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"69265000";AM;Apuí;;Sem Logradouro;;(69)3222-9474;contato@pousadapiraacu.com.br;contato@pousadapiraacu.com.br;;"15/01/2018";"15/01/2020";"13993249000197";"5510801 - HOTÉIS";;;6;0;16
DM HOTELARIA E SERVICOS LTDA;DM HOTÉIS E RESORTS;"14028134000125";Sociedade Empresária Limitada;2010-07-12;DEMAIS;0;Em Implantação;Meio de Hospedagem;;;"66055260";PA;Belém;Nazaré;Governador José Malcher;;(91)3223-9840;dmfomento@uol.com.br;dmfomento@uol.com.br;;"17/01/2017";"17/01/2019";"14028134000125";"5510801 - HOTÉIS";;;92;0;184
AGAPE EMPREENDIMENTOS HOTELEIRO E TURISTICO EIRELI;SÃO SALVADOR HOTEIS E CONVENÇÕES;"14038300000174";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);2011-07-05;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"41770235";BA;Salvador;Stiep;Doutor José Peroba;;(71)3617-3300;gqualidade@saosalvador.tur.br;gqualidade@saosalvador.tur.br;www.saosalvador.tur.br;"16/03/2018";"16/03/2020";"14038300000174";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;304;4;653
WEDSON RODRIGUES ALVES 97810827120;HOTEL GLOBO;"14101823000118";Empresário Individual;2011-08-11;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"74063370";GO;Goiânia;Setor Norte Ferroviário;"300";NUMERO 263;(62)3223-4847;wedrodrigues@hotmail.com;wedrodrigues@hotmail.com;;"08/03/2018";"08/03/2020";"14101823000118";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";;;17;0;30
HOTEIS E TURISMO ITAPOAN LTDA. - EPP;BAHIA PARK HOTEL;"14309694000409";Sociedade Empresária Limitada;1986-10-30;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"41940390";BA;Salvador;;Sem Logradouro;;(71)3330-1463;RESERVAS@BAHIAPARKHOTEL.COM.BR;RESERVAS@BAHIAPARKHOTEL.COM.BR;WWW.BAHIAPARKHOTEL.COM.BR;"24/08/2016";"24/08/2018";"14309694000409";"5510801 - HOTÉIS";; Espanhol | Inglês;55;0;155
LARA BRESGEN HOTELARIA EIRELI - EPP;HOTEL BITINGUI;"14322971000162";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);2011-08-31;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"57950000";AL;Japaratinga;;Sem Logradouro;;(82)3297-1500;bitinguipraiahotel@hotmail.com;bitinguipraiahotel@hotmail.com;;"04/04/2017";"04/04/2019";"14322971000162";"5510801 - HOTÉIS";; Alemão | Espanhol | Inglês;40;2;120
TERRACO HOTEL LTDA;TERRAÇO HOTEL;"14421103000130";Sociedade Empresária Limitada;2011-10-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37190000";MG;Três Pontas;;Sem Logradouro;;(35)3265-2523;reservas@terracohotel.tur.br;reservas@terracohotel.tur.br;www.terracohotel.tur.br;"29/06/2016";"29/06/2018";"14421103000130";"5510801 - HOTÉIS";; Inglês;32;1;64
CARRANCA HOTEL LTDA - ME;CARRANCA;"14425383000154";Sociedade Empresária Limitada;1978-02-14;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"47640000";BA;Santa Maria da Vitória;;Sem Logradouro;;(77)9916-8941;carrancahotel@hotmail.com;carrancahotel@hotmail.com;;"10/03/2017";"10/03/2019";"14425383000154";"5510801 - HOTÉIS";;;42;0;126
D M BALDANCA;POUSADA VILA DA FERRUGEM;"14563771000100";Empresário (Individual);2011-11-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"88495000";SC;Garopaba;;Sem Logradouro;;(48)3254-0097;daianne09@hotmail.com;daianne09@hotmail.com;;"05/02/2018";"05/02/2020";"14563771000100";"5510801 - HOTÉIS";;;8;0;32
BE HOSPEDAGENS E TURISMO EIRELI;CULT HOSTAL (KARIOK HOSTEL);"14570367000155";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);2011-11-03;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"20241150";RJ;Rio de Janeiro;Glória;Benjamim Constant;;(21)3178-3127;adm@kariok.com.br;adm@kariok.com.br;;"02/02/2018";"02/02/2020";"14570367000155";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;25;0;68
ALANIA FERNANDA DA COSTA BARROS;ALANIA FERNANDA DA COSTA BARROS ME;"14593087000162";Empresário Individual;2011-10-20;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57150000";AL;Pilar;;Sem Logradouro;;(82)3265-1265;alaniabarros@hotmail.com;alaniabarros@hotmail.com;;"15/03/2018";"15/03/2020";"14593087000162";"5510801 - HOTÉIS";;;16;0;48
REINALDO CASTELAO - ME;PREMIER HOTEL;"14627965000113";Empresário (Individual);2011-11-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"79301001";MS;Corumbá;Centro;Antônio Maria Coelho;;(67)3231-2112;hotel-premier@uol.com.br;hotel-premier@uol.com.br;;"18/01/2018";"18/01/2020";"14627965000113";"5510801 - HOTÉIS";; Espanhol;17;0;40
CDS HOTEL PORTAL DO PANTANAL LTDA - ME;CDS HOTEL PORTAL DO PANTANAL LTDA - ME;"14653314000106";Sociedade Empresária Limitada;2011-11-22;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"79310120";MS;Corumbá;Popular Velha;Theodomiro Serra;;(67)3232-6024;recepcao@hotelportaldopantanal.com;recepcao@hotelportaldopantanal.com;www.hotelportaldopantanal.com.br;"22/01/2018";"22/01/2020";"14653314000106";"5510801 - HOTÉIS";;;34;8;120
POUSADA HOSPEDARIA TRANCOSO LTDA - ME;POUSADA HOSPEDARIA TRANCOSO LTDA - ME;"14667111000160";Sociedade Empresária Limitada;2011-11-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"45818000";BA;Trancoso;;Sem Logradouro;;(73)3668-1084;direcao@hospedariadoquadrado.com.br;direcao@hospedariadoquadrado.com.br;;"11/08/2016";"11/08/2018";"14667111000160";"5510801 - HOTÉIS";;;4;0;8
JOSE HENRIQUE & GUILHERME LIMAVERDE POUSADA LTDA;POUSADA DAS GALÉS;"14717864000133";Sociedade Empresária Limitada;2011-11-14;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"57955000";AL;Maragogi;;Sem Logradouro;;(82)3296-2027;pousadadagales@gmail.com;pousadadagales@gmail.com;;"26/03/2018";"26/03/2020";"14717864000133";"5510801 - HOTÉIS";; Espanhol | Inglês;14;0;35
SONIA M L DE ALMEIDA;POUSADA SOL DA MANHA;"14723223000191";Empresário (Individual);2011-12-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"23916005";RJ;Angra dos Reis;Monsuaba;Antônio Bertholdo da Silva Jordão;;(24)3366-0980;contato@pousadasoldamanha.com.br;contato@pousadasoldamanha.com.br;www.pousadasoldamanha.com.br;"03/01/2018";"03/01/2020";"14723223000191";"5510801 - HOTÉIS";; Inglês;11;0;22
BPS PARTICIPACOES E EMPREENDIMENTOS TURISTICOS LIMITADA;INFINITY HOTEIS;"14886445000206";Sociedade Empresária Limitada;2012-01-16;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"45810000";BA;Porto Seguro;;Sem Logradouro;;(73)3679-1009;magelapnx@bol.com.br;magelapnx@bol.com.br;;"06/02/2017";"06/02/2019";"14886445000206";"5510801 - HOTÉIS";;;100;1;240
RV HOTEIS LTDA - EPP;HOTEL PORTO JATIÚCA;"14891051000165";Sociedade Empresária Limitada;2012-01-16;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"57035700";AL;Maceió;Jatiúca;Doutor Júlio Marques Luz;;(82)3436-4306;diretoria@hoptelportodapraia.com.br;diretoria@hoptelportodapraia.com.br;;"11/04/2017";"11/04/2019";"14891051000165";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;55;2;107
POUSADA PONTAL LTDA;POUSADA PONTAL;"14921265000137";Sociedade Empresária Limitada;2012-01-23;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"25821300";RJ;Três Rios;Ponto Azul;Santa Catarina;;(24)2255-8024;virginia.mmedici@gmail.com;virginia.mmedici@gmail.com;;"11/01/2018";"11/01/2020";"14921265000137";"5510801 - HOTÉIS";; Francês | Inglês;13;14;35
FARIAS & ALVES POUSADA E CHURRASCARIA LTDA;POUSADA E RESTAURANTE MANO FILHO;"14942052000191";Sociedade Empresária Limitada;2011-11-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57955000";AL;Maragogi;;Sem Logradouro;;(82)8823-5190;celinacupertino@hotmail.com;celinacupertino@hotmail.com;WWW.VILADETAIPA.COM.BR;"01/03/2018";"01/03/2020";"14942052000191";"5510801 - HOTÉIS";;;16;0;32
HOTEIS DA FONTE II LTDA;Hoteis da Fonte II ltda/Marante Executive;"14944811000155";Sociedade Empresária Limitada;2012-01-19;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"51011050";PE;Recife;Pina;Engenheiro Domingos Ferreira;- até 1350 - lado par;(81)3464-1062;CONTAB@MARANTE.COM.BR;CONTAB@MARANTE.COM.BR;;"27/03/2018";"27/03/2020";"14944811000155";"5510801 - HOTÉIS";;;141;6;290
ARENA LEME HOTEL LTDA;ARENA LEME HOTEL;"14949199000103";Sociedade Empresária Limitada;2012-01-26;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"22010010";RJ;Rio de Janeiro;Leme;Gustavo Sampaio;;(21)2244-9206;adm.leme@arenahotel.rio;adm.leme@arenahotel.rio;www.arenalemehotel.com.br/default-pt.html;"22/02/2018";"22/02/2020";"14949199000103";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;164;24;231
F. GOMES;HOTEL AMAZONIA;"15006125000104";Empresário Individual;1980-08-25;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"76820712";RO;Porto Velho;Flodoaldo Pontes Pinto;Prefeito Chiquilito Erse;;(69)3225-9290;hotelamro@gmail.com;hotelamro@gmail.com;;"21/02/2018";"21/02/2020";"15006125000104";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";;;35;0;38
ANAMELIA GOMES L. RIBEIRO;POUSADA DA MATA;"15034335000106";Empresário (Individual);2012-01-31;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"12530000";SP;Cunha;;Rodovia Salvador Pacetti, sn°, Bairro Divino Mestre;km 54,8;(12)3111-1975;pousada@pousadamata.com.br;pousada@pousadamata.com.br;www.pousadamata.com.br;"05/04/2017";"05/04/2019";"15034335000106";"5510801 - HOTÉIS";;;6;0;6
ABUDI PALACE HOTEL LTDA;ABUDI PALACE HOTEL;"15043920000164";Sociedade Empresária Limitada;1981-05-28;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78010200";MT;Cuiabá;Bandeirantes;Coronel Escolástico 259;;(65)3023-7399;abudihotel@gmail.com;abudihotel@gmail.com;www.abudihotel.com.br;"07/03/2018";"07/03/2020";"15043920000164";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês;75;0;147
ALAMEDA VITORIA HOTEL LTDA;ALAMEDA HOTEL;"15083972000164";Sociedade Empresária Limitada;2012-02-15;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"29060235";ES;Vitória;Jardim da Penha;Dante Michelini;;(27)3204-6600;gerencia.bav@redebristol.com.br;gerencia.bav@redebristol.com.br;;"17/10/2016";"17/10/2018";"15083972000164";"5510801 - HOTÉIS";; Inglês;85;5;170
HOTEL FLAMBOYANT LTDA;HOTEL FLAMBOYANT;"15103372000110";Sociedade Empresária Limitada;2012-02-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78065160";MT;Cuiabá;Jardim Tropical;Uruguai;;(65)9901-4818;alberto.hotelflamboyant@gmail.com;alberto.hotelflamboyant@gmail.com;www.hotelflamboyantcuiaba.com.br;"16/03/2018";"16/03/2020";"15103372000110";"5510801 - HOTÉIS";;;31;1;58
RE E JU POUSADA LTDA;POUSADA RECANTO DO SABIA;"15116621000102";Sociedade Empresária Limitada;2012-02-29;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"23968000";RJ;Ilha Grande;;Rua do Bicão 5;;(24)3370-5584;comercial@objetivatour.com;comercial@objetivatour.com;www.objetivatour.com;"27/03/2018";"27/03/2020";"15116621000102";"5510801 - HOTÉIS";;;7;7;20
ALEXANDRE LOPES VENEZIANO;BAU BRASIL;"15131476000139";Empresário (Individual);2012-03-02;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"36320000";MG;Prados;;Sem Logradouro;;(32)8416-7361;kibefrito@gmail.com;kibefrito@gmail.com;;"10/05/2017";"10/05/2019";"15131476000139";"5510801 - HOTÉIS";;;8;0;8
DENIZE APARECIDA CYRILLO CHAMIE 05450083874;POUSADA PORTAL DAS CACHOEIRAS;"15144921000103";Empresário Individual;2012-03-06;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37578000";MG;Bueno Brandão;;Sem Logradouro;;(35)9983-0413;pousada@pousadaportaldascachoeiras.com.br;gilbertochamie@terra.com.br;www.atalanta.tur.br;"17/05/2018";"17/05/2020";"15144921000103";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";; Espanhol | Inglês;4;0;12
TUPYGUA BRASIL HOTEL LTDA;TUPYGUA BRASIL HOTEL;"15165884000101";Sociedade Empresária Limitada;2012-03-07;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"33600000";MG;Pedro Leopoldo;;Sem Logradouro;;(31)3662-5111;financeiro@hoteltupygua.com.br;financeiro@hoteltupygua.com.br;;"03/10/2016";"03/10/2018";"15165884000101";"5510801 - HOTÉIS";; Inglês;60;2;130
POUSADA KAYOA LTDA;POUSADA KAYOA;"15199347000182";Sociedade Empresária Limitada;2012-03-14;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37605000";MG;Córrego do Bom Jesus;;Estrada do Catiguá;Sn;(35)3600-0775;LLCONTABIL@YAHOO.COM.BR;cynthyasahyeg2009@hotmail.com;pousadakayoa.weebly.com;"28/03/2018";"28/03/2020";"15199347000182";"5510801 - HOTÉIS";;;5;5;20
OPERAR HOTEIS LTDA;HOTEL IBIS BUDGET;"15225143000411";Sociedade Empresária Limitada;2017-03-27;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"36204168";MG;Barbacena;Pontilhão;Governador Bias Fortes;;(31)9810-1695;barbacena.ibis@gmail.com;barbacena.ibis@gmail.com;;"22/06/2017";"22/06/2019";"15225143000411";"5510801 - HOTÉIS";; Inglês;120;10;120
CAHY PRAIA HOTEL EIRELI;CAHY PRAIA HOTEL;"15230342000175";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);2012-03-15;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"45980000";BA;Prado;;Condominio Conjunto das Mansões;s/n° Bairro Lagoa Pequena;(73)3298-1811;contato@cahy.com.br;contato@cahy.com.br;http://www.cahy.com.br;"06/03/2018";"06/03/2020";"15230342000175";"5510801 - HOTÉIS";;;43;2;86
POUSADA VIVA EIRELI;POUSADA VIVÁ;"15233827000112";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);2012-02-24;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78195000";MT;Chapada dos Guimarães;;AV DR ADALBERTO JOESTING SIEDLER, N 19;;(65)3301-1111;CONTATO@POUSADAVIVA.COM.BR;CONTATO@POUSADAVIVA.COM.BR;WWW.POUSADAVIVA.COM.BR;"26/03/2018";"26/03/2020";"15233827000112";"5510801 - HOTÉIS";;;9;1;30
JURACY PEREIRA MARTINS & CIA LTDA  - ME;GRAN PARK HOTEL E CONVENÇOES;"15247052000134";Sociedade Empresária Limitada;2012-03-21;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"75830000";GO;Mineiros;;Sem Logradouro;;(62)3661-7844;contato@araraunaparkhotel.com.br;contato@araraunaparkhotel.com.br;;"16/01/2018";"16/01/2020";"15247052000134";"5510801 - HOTÉIS";;;32;0;32
MARIA LUCIDETE DA SILVA SIROTHEAU 16351843200;POUSADA ECO ALTER TURISMO;"15255316000100";Empresário Individual;2012-03-23;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"68109000";PA;Alter do Chão;;Sem Logradouro;;(91)9913-5942;sirotheaueventur@gmail.com;sirotheaueventur@gmail.com;;"31/01/2017";"31/01/2019";"15255316000100";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";; Espanhol;4;0;20
WR HOTEIS, FLAT E ADMINISTRADORA DE IMOVEIS LTDA;SANTA HELENA FLAT;"15385181000199";Sociedade Empresária Limitada;2012-04-18;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"35700362";MG;Sete Lagoas;Jardim Arizona;Nações Unidas;;(31)3772-2828;santahelenaflat@hotmail.com;santahelenaflat@hotmail.com;www.santahelenaflat.com.br;"03/05/2017";"03/05/2019";"15385181000199";"5510801 - HOTÉIS";; Espanhol | Inglês;20;4;20
MACEIO PALACE HOTEL LTDA;MACEIO PALACE HOTEL;"15397453000170";Sociedade Empresária Limitada;2012-04-10;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"57020210";AL;Maceió;Centro;Barão de Alagoas;- até 452/453;(82)8719-3205;laelsonlj@hotmail.com;laelsonlj@hotmail.com;;"16/03/2018";"16/03/2020";"15397453000170";"5510801 - HOTÉIS";;;20;0;20
JOSE DE FATIMA BOSCHETTE 32577443900;JOSE DE FATIMA BOSCHETTE 32577443900;"15424876000132";Empresário Individual;2012-04-25;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"89037010";SC;Blumenau;Água Verde;Júlio Baumgarten;;(47)3327-1217;contato@dilocare.com.br;contato@dilocare.com.br;;"12/03/2018";"12/03/2020";"15424876000132";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";;;4;0;22
MARIA CRISTINA HERMETO DOLABELLA  - ME;CHALES TERRAVIVA;"15465229000179";Empresário Individual;2012-04-11;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"72980000";GO;Pirenópolis;;Sem Logradouro;;(62)3331-3337;mcdolabella@gmail.com;mcdolabella@gmail.com;;"18/01/2018";"18/01/2020";"15465229000179";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";; Inglês;8;1;26
ATLAS EMPREENDIMENTOS HOTELEIROS LTDA.;ATLAS HOTEL;"15470070000180";Sociedade Empresária Limitada;2012-05-04;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"35700642";MG;Sete Lagoas;Centro;Coronel Altino França;;(31)3771-8006;reservas@hotelatlas.com.br;reservas@hotelatlas.com.br;;"21/06/2017";"21/06/2019";"15470070000180";"5510801 - HOTÉIS";; Francês | Inglês | Mandarim;54;2;116
HOTEL CENTRO DE EVENTOS DO CEARA LTDA;HOTEL CENTRO DE EVENTOS DO CEARÁ LTDA;"15524451000103";Sociedade Empresária Limitada;2012-05-11;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"60810165";CE;Fortaleza;Patriolino Ribeiro;Firmino Rocha Aguiar;;(85)3402-6400;h8886-gm@accor.com.br;h8886-gm@accor.com.br;;"29/12/2017";"29/12/2019";"15524451000103";"5510801 - HOTÉIS";; Espanhol | Inglês;165;15;330
PASSO DO LONTRA PARQUE HOTEL LTDA;POUSADA DA LONTRA;"15531734000174";Sociedade Empresária Limitada;1995-03-10;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"79321600";MS;Corumbá;Guaicurus;ROD MS 184 KM 110;;(67)3231-6569;atendimento@passodolontra.com.br;atendimento@passodolontra.com.br;www.passodolontra.com.br;"27/03/2018";"27/03/2020";"15531734000174";"5510801 - HOTÉIS";; Espanhol | Inglês;26;0;110
POUSO REAL EMPREENDIMENTOS TURISTICOS LTDA;MIRA SERRA PARQUE HOTEL;"15534460000177";Sociedade Empresária Limitada;2012-05-14;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37460000";MG;Passa Quatro;;Sem Logradouro;;(35)3371-1400;contato@hotelmiraserra.com.br;contato@hotelmiraserra.com.br;;"24/11/2017";"24/11/2019";"15534460000177";"5510801 - HOTÉIS";; Inglês;172;8;550
EGIDIO DEOTTI;HOTEL CINDERELA;"15537319000128";Empresário Individual;1982-11-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"79490000";MS;São Gabriel do Oeste;;Sem Logradouro;;(67)3295-1713;hotelcinderela@terra.com.br;hotelcinderela@terra.com.br;;"23/03/2018";"23/03/2020";"15537319000128";"5510801 - HOTÉIS";;;29;2;58
D. M. S. FILHOS LTDA;BRASILÉIA PALACE HOTEL;"15541783000198";Sociedade Empresária Limitada;2012-05-08;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"69932000";AC;Brasiléia;;Sem Logradouro;;(68)3546-3829;bphbrasileiahotel@gmail.com;bphbrasileiahotel@gmail.com;;"05/02/2018";"05/02/2020";"15541783000198";"5510801 - HOTÉIS";; Espanhol;11;1;33
ARATUR HOTEIS E TURISMO DE ARACAJU LTDA;HOTEL IBIS BUDGET ARACAJU;"15604465000390";Sociedade Empresária Limitada;2014-10-02;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"49035005";SE;Aracaju;Atalaia;Oceânica;;(79)2107-8008;CLAUDIA@FFB.COM.BR;h8676-gm@accor.com.br;;"22/02/2018";"22/02/2020";"15604465000390";"5510801 - HOTÉIS";; Inglês;210;12;357
HOSTEL SETE LAGOAS LTDA;HOSTEL SETE LAGOAS;"15605920000100";Sociedade Empresária Limitada;2012-05-28;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"35700053";MG;Sete Lagoas;Centro;Quintino Bocaiúva;;(31)3772-2200;hostelsl@hotmail.com;hostelsl@hotmail.com;;"03/05/2017";"03/05/2019";"15605920000100";"5510801 - HOTÉIS";; Inglês;30;11;80
VILA DAS PALMEIRAS HOTEIS E TURISMO LTDA - EPP;POUSADA VILA DAS PALMEIRAS;"15623069000149";Sociedade Empresária Limitada;1991-07-01;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"44571016";BA;Santo Antônio de Jesus;Centro;Doutor Renato Machado;;(75)3631-6761;POUSADA@POUSADAVILADASPALMEIRAS.COM.BR;POUSADA@POUSADAVILADASPALMEIRAS.COM.BR;WWW.POUSADAVILADASPALMEIRAS.COM.BR;"20/07/2017";"20/07/2019";"15623069000149";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;35;1;80
M.M.B. JUNG;POUSADA TOCA DOS URSOS ;"15628259000159";Empresário (Individual);2012-05-18;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"95670000";RS;Gramado;;Sem Logradouro;;(54)3286-1558;pousadatocadosursos@gmail.com;pousadatocadosursos@gmail.com;;"26/02/2018";"26/02/2020";"15628259000159";"5510801 - HOTÉIS";; Alemão | Espanhol;18;4;55
G E V SERVICOS LTDA;HOTEL RIO ARAGUAIA;"15676164000100";Sociedade Empresária Limitada;2012-06-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"77880000";TO;Xambioá;;Sem Logradouro;;(63)3473-1181;hotelrioaraguaia@gmail.com;hotelrioaraguaia@gmail.com;;"26/01/2018";"26/01/2020";"15676164000100";"5510801 - HOTÉIS";;;39;1;50
RAQUEL ROSA GARRETA;POUSADA DO FRED;"15719167000184";Empresário (Individual);2012-06-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"64222000";PI;Cajueiro da Praia;;Sem Logradouro;;(86)3369-8140;reservas@pousadadofred.com;reservas@pousadadofred.com;www.pousadadofred.com;"16/01/2018";"16/01/2020";"15719167000184";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";; Espanhol | Inglês;9;0;32
SUELEN MARLUCI MARTINS 38742563836;SALESOPOLIS HOSTEL - HOSPEDARIA SOLAR DA SERRA;"15743639000134";Empresário Individual;2012-06-20;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"08970000";SP;Salesópolis;;Sem Logradouro;;(11)4696-1412;salesopolishostel@gmail.com;salesopolishostel@gmail.com;www.salesopolishostel.com.br;"08/02/2018";"08/02/2020";"15743639000134";"5590601 - ALBERGUES, EXCETO ASSISTENCIAIS";;;50;1;50
